赛季,球队,出场,首发,时间,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分,胜,负
15-16,洛杉矶湖人,66,66,1861,35.8%,398,1113,28.5%,133,467,82.6%,232,281,247,41,206,184,62,13,129,115,1161,13,53
14-15,洛杉矶湖人,35,35,1206,37.3%,266,713,29.3%,54,184,81.3%,196,241,199,26,173,197,47,7,128,65,782,10,25
13-14,洛杉矶湖人,6,6,177,42.5%,31,73,18.8%,3,16,85.7%,18,21,26,2,24,38,7,1,34,9,83,2,4
12-13,洛杉矶湖人,78,78,3018,46.3%,738,1595,32.4%,132,407,83.9%,525,626,433,66,367,469,106,25,287,173,2133,42,36
11-12,洛杉矶湖人,58,58,2232,43.0%,574,1336,30.3%,87,287,84.5%,381,451,313,66,247,264,69,18,204,105,1616,36,22
10-11,洛杉矶湖人,82,82,2779,45.1%,740,1639,32.3%,115,356,82.8%,483,583,419,83,336,388,99,12,243,172,2078,57,25
09-10,洛杉矶湖人,73,73,2835,45.6%,716,1569,32.9%,99,301,81.1%,439,541,391,78,313,365,113,20,233,187,1970,51,22
08-09,洛杉矶湖人,82,82,2960,46.7%,800,1712,35.1%,118,336,85.6%,483,564,429,90,339,399,120,37,210,189,2201,65,17
07-08,洛杉矶湖人,82,82,3192,45.9%,775,1690,36.1%,150,415,84.0%,623,742,517,94,423,441,151,40,257,227,2323,57,25
06-07,洛杉矶湖人,77,77,3140,46.3%,813,1757,34.4%,137,398,86.8%,667,768,439,75,364,413,111,36,255,205,2430,39,38
05-06,洛杉矶湖人,80,80,3277,45.0%,978,2173,34.7%,180,518,85.0%,696,819,425,71,354,360,147,30,250,233,2832,45,35
04-05,洛杉矶湖人,66,66,2689,43.3%,573,1324,33.9%,131,387,81.6%,542,664,392,95,297,398,86,53,270,174,1819,28,38
03-04,洛杉矶湖人,65,64,2447,43.8%,516,1178,32.7%,71,217,85.2%,454,533,359,103,256,330,112,28,171,176,1557,48,17
02-03,洛杉矶湖人,82,82,3401,45.1%,868,1924,38.3%,124,324,84.3%,601,713,564,106,458,481,181,67,288,218,2461,50,32
01-02,洛杉矶湖人,80,80,3063,46.9%,749,1597,25.0%,33,132,82.9%,488,589,441,112,329,438,118,35,223,228,2019,56,24
00-01,洛杉矶湖人,68,68,2783,46.4%,701,1510,30.5%,61,200,85.3%,475,557,399,104,295,338,114,43,220,222,1938,45,23
99-00,洛杉矶湖人,66,62,2524,46.8%,554,1183,31.9%,46,144,82.1%,331,403,416,108,308,323,106,62,182,220,1485,55,11
98-99,洛杉矶湖人,50,50,1896,46.5%,362,779,26.7%,27,101,83.9%,245,292,264,53,211,190,72,50,157,153,996,31,19
97-98,洛杉矶湖人,79,1,2056,42.8%,391,913,34.1%,75,220,79.4%,363,457,242,79,163,199,74,40,157,180,1220,58,21
96-97,洛杉矶湖人,71,6,1103,41.7%,176,422,37.5%,51,136,81.9%,136,166,132,47,85,91,49,23,112,102,539,48,23
